player,season,total_shots,total_total_yellow_cards,total_total_red_cards,total_goals
damien delaney,2015,78,32.0,0.0,0
damien delaney,2016,100,8.0,0.0,4
damien delaney,2017,45,20.0,0.0,0
damien marcq,2012,56,16.0,0.0,0
damien perquis,2012,124,24.0,0.0,0
damien perquis,2013,72,16.0,12.0,0
damien perquis,2014,64,32.0,0.0,0
dan burn,2014,20,0.0,0.0,0
dan gosling,2014,14,4.0,0.0,0
dan gosling,2016,122,24.0,0.0,3
dan gosling,2017,56,16.0,0.0,2
dani alves,2012,162,36.0,0.0,2
dani alves,2013,131,8.0,0.0,0
dani alves,2014,156,24.0,0.0,2
dani alves,2015,120,24.0,6.0,0
dani alves,2016,92,24.0,0.0,0
dani alves,2017,38,8.0,0.0,1
dani castellano,2016,90,20.0,0.0,0
dani castellano,2017,35,4.0,0.0,0
dani ceballos,2016,129,44.0,0.0,0
dani ceballos,2017,75,16.0,0.0,0
dani nieto,2015,11,4.0,0.0,0
dani pacheco,2012,10,0.0,0.0,0
dani schahin,2013,152,16.0,0.0,8
dani schahin,2014,17,0.0,0.0,0
dani schahin,2015,17,4.0,0.0,0
daniel amartey,2016,1,0.0,0.0,0
daniel amartey,2017,50,12.0,0.0,1
daniel ayala,2017,15,8.0,0.0,1
daniel baier,2012,184,28.0,0.0,0
daniel baier,2013,177,28.0,0.0,2
daniel baier,2014,125,16.0,0.0,0
daniel baier,2015,119,16.0,0.0,1
daniel baier,2016,105,28.0,0.0,1
daniel baier,2017,78,12.0,0.0,1
daniel braaten,2012,132,16.0,0.0,1
daniel braaten,2013,118,8.0,0.0,2
daniel brosinski,2015,133,16.0,6.0,0
daniel brosinski,2016,80,12.0,0.0,1
daniel brosinski,2017,49,20.0,0.0,0
daniel caligiuri,2012,119,16.0,0.0,5
daniel caligiuri,2013,234,40.0,0.0,5
daniel caligiuri,2014,86,8.0,6.0,1
daniel caligiuri,2015,114,4.0,0.0,5
daniel caligiuri,2016,140,16.0,0.0,2
daniel caligiuri,2017,69,8.0,0.0,2
daniel ciofani,2016,212,4.0,0.0,9
daniel davari,2014,26,0.0,0.0,0
daniel didavi,2012,134,0.0,0.0,8
daniel didavi,2013,4,0.0,0.0,0
daniel didavi,2014,41,8.0,0.0,1
daniel didavi,2015,66,12.0,0.0,4
daniel didavi,2016,225,40.0,0.0,12
daniel didavi,2017,23,0.0,0.0,2
daniel fox,2014,2,0.0,0.0,0
daniel ginczek,2014,65,4.0,0.0,2
daniel ginczek,2015,105,12.0,0.0,7
daniel ginczek,2016,50,4.0,0.0,3
daniel halfar,2015,84,4.0,0.0,1
daniel heuer fernandes,2017,1,0.0,0.0,0
daniel lafferty,2015,1,0.0,0.0,0
daniel larsson,2013,70,8.0,0.0,0
daniel larsson,2014,71,4.0,0.0,3
daniel larsson,2015,2,0.0,0.0,0
daniel opare,2016,17,8.0,0.0,0
daniel pavlovic,2016,88,24.0,0.0,0
daniel pavlovic,2017,12,8.0,0.0,0
daniel pudil,2012,31,16.0,6.0,1
daniel royer,2012,9,4.0,0.0,0
daniel schwaab,2012,69,8.0,0.0,0
daniel schwaab,2013,30,12.0,0.0,1
daniel schwaab,2014,86,12.0,0.0,0
daniel schwaab,2015,84,12.0,0.0,1
daniel schwaab,2016,77,8.0,0.0,0
daniel sturridge,2014,130,4.0,0.0,17
daniel sturridge,2015,65,0.0,0.0,4
daniel sturridge,2016,69,0.0,0.0,8
daniel sturridge,2017,39,4.0,0.0,2
daniel torres,2017,50,16.0,0.0,0
daniel wass,2012,116,12.0,0.0,4
daniel wass,2013,129,16.0,0.0,2
daniel wass,2014,153,4.0,0.0,9
daniel wass,2015,135,8.0,6.0,8
daniel wass,2016,129,12.0,0.0,2
daniel wass,2017,67,8.0,0.0,4
daniele baselli,2014,68,4.0,0.0,0
daniele baselli,2015,90,24.0,0.0,2
daniele baselli,2016,118,24.0,0.0,4
daniele baselli,2017,67,16.0,0.0,4
daniele bonera,2012,48,24.0,0.0,0
daniele bonera,2013,46,20.0,0.0,0
daniele bonera,2014,50,28.0,0.0,0
daniele bonera,2015,57,24.0,0.0,0
daniele bonera,2016,33,20.0,0.0,0
daniele cacia,2014,29,0.0,0.0,0
daniele capelli,2012,21,8.0,0.0,0
daniele capelli,2013,5,0.0,0.0,0
daniele capelli,2015,95,44.0,0.0,1
daniele corvia,2012,67,12.0,0.0,2
daniele croce,2015,153,20.0,0.0,1
daniele croce,2016,84,12.0,0.0,0
daniele croce,2017,89,12.0,0.0,0
daniele de rossi,2012,108,32.0,0.0,4
daniele de rossi,2013,88,24.0,6.0,0
daniele de rossi,2014,114,16.0,6.0,1
daniele de rossi,2015,105,52.0,0.0,2
daniele de rossi,2016,74,36.0,0.0,1
daniele de rossi,2017,41,20.0,0.0,0
daniele dessena,2012,42,12.0,0.0,1
daniele dessena,2013,123,52.0,0.0,3
daniele dessena,2014,111,24.0,0.0,0
daniele dessena,2015,79,16.0,0.0,1
daniele dessena,2017,37,16.0,6.0,2
daniele gastaldello,2013,123,52.0,12.0,1
daniele gastaldello,2014,132,40.0,0.0,2
daniele gastaldello,2015,56,12.0,0.0,2
daniele gastaldello,2016,97,36.0,0.0,1
daniele gastaldello,2017,39,28.0,12.0,0
daniele mannini,2012,86,12.0,0.0,0
daniele mannini,2013,29,8.0,0.0,0
daniele padelli,2013,9,0.0,0.0,0
daniele padelli,2014,38,12.0,0.0,0
daniele padelli,2015,20,12.0,0.0,1
daniele padelli,2016,26,12.0,0.0,1
daniele padelli,2017,1,0.0,0.0,0
daniele rugani,2015,113,0.0,0.0,4
daniele rugani,2016,40,8.0,0.0,0
daniele rugani,2017,25,16.0,0.0,2
daniele verde,2015,17,0.0,0.0,0
daniele verde,2016,13,0.0,0.0,0
danilo,2012,560,120.0,0.0,5
danilo,2013,560,240.0,0.0,10
danilo,2014,610,160.0,0.0,5
danilo,2015,625,140.0,0.0,10
danilo,2016,1480,420.0,30.0,10
danilo,2017,380,120.0,0.0,15
danilo avelar,2013,94,16.0,0.0,0
danilo avelar,2014,74,16.0,0.0,0
danilo avelar,2015,150,48.0,0.0,4
danilo avelar,2016,22,4.0,0.0,1
danilo cataldi,2015,46,12.0,6.0,1
danilo cataldi,2016,74,40.0,0.0,1
danilo cataldi,2017,33,20.0,6.0,1
danilo pereira,2012,5,0.0,0.0,0
danilo soddimo,2013,7,4.0,0.0,0
danilo soddimo,2016,156,44.0,0.0,1
danny blum,2017,8,0.0,0.0,0
danny da costa,2012,5,0.0,0.0,0
danny da costa,2016,43,16.0,0.0,0
danny da costa,2017,1,0.0,0.0,0
danny graham,2014,16,0.0,0.0,1
danny graham,2015,27,0.0,0.0,1
danny graham,2016,18,0.0,0.0,0
danny ings,2015,195,24.0,0.0,11
danny ings,2016,26,4.0,0.0,2
danny latza,2016,118,32.0,0.0,0
danny latza,2017,23,4.0,0.0,3
danny rose,2014,261,48.0,18.0,3
danny rose,2015,435,84.0,0.0,9
danny rose,2016,399,84.0,0.0,3
danny rose,2017,318,96.0,0.0,6
danny simpson,2015,37,12.0,0.0,0
danny simpson,2016,77,20.0,0.0,0
danny simpson,2017,46,32.0,0.0,0
danny ward,2016,2,0.0,0.0,0
danny welbeck,2014,66,8.0,0.0,7
danny welbeck,2015,95,12.0,0.0,4
danny welbeck,2016,36,4.0,0.0,4
danny welbeck,2017,1,0.0,0.0,0
dante,2012,112,24.0,0.0,0
dante,2013,97,16.0,0.0,1
dante,2014,85,12.0,0.0,2
dante,2015,83,20.0,0.0,0
dante,2016,77,28.0,0.0,1
dante,2017,37,8.0,0.0,0
dany nounkeu,2015,43,16.0,0.0,1
dario dainelli,2012,59,24.0,6.0,0
dario dainelli,2013,109,32.0,0.0,0
dario dainelli,2014,80,24.0,0.0,2
dario dainelli,2015,114,32.0,0.0,0
dario dainelli,2016,43,20.0,0.0,1
dario dainelli,2017,59,28.0,0.0,1
dario del fabro,2013,4,0.0,0.0,0
dario del fabro,2014,5,0.0,0.0,0
dariusz dudka,2012,139,32.0,0.0,2
dariusz dudka,2013,7,0.0,0.0,0
darko brasanac,2017,25,12.0,0.0,0
darnell furlong,2015,11,4.0,0.0,0
darren bent,2014,32,0.0,0.0,2
darren bent,2015,4,0.0,0.0,0
darren fletcher,2014,19,0.0,0.0,0
darren fletcher,2015,41,12.0,0.0,1
darren fletcher,2016,74,12.0,0.0,1
darren fletcher,2017,36,0.0,0.0,2
darren randolph,2016,6,0.0,0.0,0
darren randolph,2017,1,0.0,0.0,0
darron gibson,2015,22,0.0,0.0,0
darron gibson,2016,10,12.0,0.0,0
daryl janmaat,2015,122,32.0,0.0,1
daryl janmaat,2016,90,28.0,0.0,2
daryl janmaat,2017,19,0.0,0.0,1
david abraham,2013,65,8.0,0.0,0
david abraham,2014,52,12.0,0.0,1
david abraham,2015,38,12.0,0.0,0
david abraham,2016,94,32.0,0.0,0
david abraham,2017,52,12.0,0.0,1
david alaba,2012,56,4.0,0.0,2
david alaba,2013,68,0.0,0.0,3
david alaba,2014,89,0.0,0.0,1
david alaba,2015,54,0.0,0.0,2
david alaba,2016,68,8.0,0.0,1
david alaba,2017,27,0.0,0.0,0
david costas,2014,40,4.0,0.0,0
david costas,2015,4,4.0,0.0,0
david costas,2017,1,4.0,0.0,0
david ducourtioux,2012,100,16.0,0.0,0
david ducourtioux,2013,108,24.0,0.0,0
david ducourtioux,2014,136,44.0,0.0,1
david ducourtioux,2016,145,48.0,0.0,0
david ivan,2016,47,24.0,0.0,1
david jones,2015,64,0.0,0.0,0
david jones,2017,2,4.0,0.0,0
david kinsombi,2015,10,4.0,0.0,0
david kinsombi,2016,4,0.0,0.0,0
david luiz,2014,80,20.0,0.0,0
david luiz,2015,128,20.0,0.0,2
david luiz,2016,65,16.0,0.0,1
david luiz,2017,65,16.0,0.0,0
david marshall,2014,37,8.0,0.0,0
david marshall,2017,3,0.0,0.0,1
david meyler,2014,99,28.0,0.0,2
david meyler,2015,103,28.0,6.0,1
david meyler,2017,30,4.0,0.0,1
david navarro,2012,6,4.0,0.0,0
david navarro,2013,108,40.0,0.0,1
david navarro,2014,86,24.0,6.0,1
david navarro,2015,56,16.0,6.0,0
david navarro,2016,47,16.0,0.0,1
david nugent,2015,87,12.0,0.0,5
david nugent,2017,2,0.0,0.0,0
david oberhauser,2013,1,0.0,0.0,1
david oberhauser,2015,3,0.0,0.0,0
david ospina,2012,44,12.0,6.0,0
david ospina,2013,24,12.0,12.0,0
david ospina,2014,37,12.0,0.0,0
david ospina,2015,13,0.0,0.0,0
david ospina,2016,4,0.0,0.0,0
david pizarro,2012,21,4.0,0.0,0
david pizarro,2013,144,52.0,0.0,3
david pizarro,2014,108,24.0,6.0,1
david pizarro,2015,85,16.0,0.0,0
david ramirez,2015,8,0.0,0.0,0
david rozehnal,2012,57,24.0,0.0,2
david rozehnal,2013,20,0.0,0.0,0
david rozehnal,2014,42,0.0,0.0,0
david rozehnal,2015,56,0.0,0.0,0
david silva,2014,220,40.0,0.0,12
david silva,2015,304,64.0,0.0,24
david silva,2016,164,8.0,0.0,2
david silva,2017,150,32.0,0.0,2
david stockdale,2014,12,0.0,0.0,1
david villa,2012,58,4.0,0.0,5
david villa,2013,100,4.0,0.0,10
david villa,2014,159,12.0,0.0,13
davide astori,2012,99,20.0,0.0,2
davide astori,2013,139,36.0,0.0,2
davide astori,2014,112,24.0,0.0,0
davide astori,2015,106,40.0,0.0,1
davide astori,2016,102,20.0,0.0,0
davide astori,2017,45,16.0,0.0,1
davide biondini,2012,146,36.0,0.0,1
davide biondini,2013,80,32.0,0.0,0
davide biondini,2014,95,16.0,0.0,2
davide biondini,2015,64,12.0,0.0,0
davide biondini,2016,47,12.0,0.0,0
davide biondini,2017,30,20.0,0.0,0
davide biraschi,2017,3,4.0,0.0,0
davide brivio,2012,66,12.0,0.0,3
davide brivio,2013,61,16.0,0.0,1
davide brivio,2014,53,8.0,0.0,3
davide brivio,2015,20,4.0,0.0,0
davide brivio,2016,28,4.0,0.0,0
davide calabria,2016,21,16.0,0.0,0
davide calabria,2017,23,12.0,0.0,0
davide di gennaro,2017,62,16.0,0.0,2
davide gavazzi,2014,15,4.0,0.0,0
davide santon,2014,67,4.0,0.0,0
davide santon,2015,30,0.0,0.0,0
davide santon,2016,30,4.0,0.0,0
davide santon,2017,28,4.0,0.0,0
davide vitturini,2017,4,0.0,0.0,0
davide zappacosta,2015,95,16.0,0.0,3
davide zappacosta,2016,59,12.0,0.0,1
davide zappacosta,2017,54,0.0,0.0,0
davie selke,2014,9,0.0,0.0,0
davie selke,2015,159,16.0,0.0,9
davie selke,2017,27,8.0,0.0,2
de las cuevas,2012,151,16.0,0.0,3
de las cuevas,2013,69,4.0,0.0,1
de las cuevas,2017,51,8.0,0.0,0
de marcos,2016,88,24.0,0.0,1
de marcos,2017,25,4.0,0.0,1
dean marney,2015,55,24.0,0.0,0
dean marney,2017,75,28.0,0.0,1
dean moxey,2014,26,0.0,0.0,0
deandre yedlin,2015,1,0.0,0.0,0
deandre yedlin,2016,55,8.0,0.0,0
declan john,2014,25,0.0,0.0,0
declan rudd,2016,13,8.0,0.0,0
dedryck boyata,2014,3,0.0,0.0,0
dedryck boyata,2015,7,4.0,0.0,0
deivid,2012,8,8.0,0.0,0
deivid,2015,50,12.0,0.0,1
dejan drazic,2016,6,4.0,0.0,0
dejan lovren,2012,65,16.0,0.0,1
dejan lovren,2013,66,20.0,12.0,1
dejan lovren,2014,89,28.0,0.0,2
dejan lovren,2015,67,16.0,0.0,0
dejan lovren,2016,76,8.0,0.0,0
dejan lovren,2017,54,20.0,0.0,2
dejan stojanovic,2013,8,0.0,0.0,0
dejan stojanovic,2014,3,0.0,0.0,0
dele alli,2016,201,28.0,0.0,10
dele alli,2017,131,16.0,0.0,11
demarai gray,2016,12,0.0,0.0,0
demarai gray,2017,27,4.0,0.0,1
demba ba,2014,55,0.0,0.0,5
denis bouanga,2016,12,0.0,0.0,1
denis cheryshev,2014,11,12.0,0.0,0
denis cheryshev,2015,120,20.0,0.0,4
denis cheryshev,2016,43,8.0,0.0,3
denis cheryshev,2017,12,0.0,0.0,0
denis petric,2016,15,0.0,0.0,0
denis petric,2017,3,0.0,0.0,0
denis tonucci,2014,66,20.0,0.0,0
deniz kadah,2013,2,4.0,0.0,0
deniz kadah,2014,15,4.0,0.0,0
dennis aogo,2012,107,24.0,0.0,0
dennis aogo,2013,97,8.0,0.0,2
dennis aogo,2014,26,4.0,0.0,0
dennis aogo,2015,83,28.0,0.0,0
dennis aogo,2016,69,16.0,0.0,0
dennis aogo,2017,4,0.0,0.0,0
dennis appiah,2015,64,12.0,6.0,0
dennis appiah,2016,82,8.0,0.0,1
dennis diekmeier,2012,67,8.0,0.0,0
dennis diekmeier,2013,126,28.0,0.0,0
dennis diekmeier,2014,50,8.0,0.0,0
dennis diekmeier,2015,85,28.0,0.0,0
dennis diekmeier,2016,44,4.0,0.0,0
dennis diekmeier,2017,15,12.0,0.0,0
dennis praet,2017,46,4.0,0.0,0
deyverson,2015,36,12.0,0.0,1
deyverson,2016,218,52.0,0.0,9
deyverson,2017,101,32.0,0.0,5
diafra sakho,2015,133,8.0,0.0,9
diafra sakho,2016,108,12.0,0.0,5
diafra sakho,2017,11,0.0,0.0,1
diallo guidileye,2017,38,12.0,0.0,0
dickson nwakaeme,2017,5,4.0,0.0,1
didier digard,2012,93,16.0,0.0,1
didier digard,2013,138,12.0,0.0,2
didier digard,2014,110,12.0,6.0,0
didier digard,2015,39,4.0,0.0,1
didier digard,2016,17,8.0,0.0,0
didier digard,2017,8,4.0,0.0,0
didier drogba,2015,76,20.0,0.0,4
didier ndong,2015,30,20.0,0.0,0
didier ndong,2016,149,44.0,0.0,2
didier ndong,2017,48,16.0,6.0,0
didier ya konan,2012,147,12.0,6.0,6
didier ya konan,2013,165,16.0,0.0,7
didier ya konan,2014,62,0.0,0.0,2
didier ya konan,2015,29,4.0,0.0,1
diego,2012,348,64.0,0.0,6
diego,2013,818,72.0,0.0,28
diego,2014,336,64.0,0.0,8
diego,2015,368,24.0,0.0,10
diego,2016,220,32.0,0.0,4
diego alves,2012,22,8.0,0.0,0
diego alves,2013,28,0.0,0.0,0
diego alves,2014,22,12.0,0.0,0
diego alves,2015,33,16.0,0.0,0
diego alves,2016,10,4.0,0.0,0
diego alves,2017,8,16.0,0.0,0
diego benaglio,2012,31,12.0,0.0,0
diego benaglio,2013,36,4.0,0.0,0
diego benaglio,2014,20,0.0,0.0,0
diego benaglio,2015,27,8.0,0.0,0
diego benaglio,2016,18,4.0,0.0,0
diego benaglio,2017,2,4.0,0.0,0
diego buonanotte,2012,24,4.0,0.0,0
diego buonanotte,2013,71,16.0,0.0,2
diego buonanotte,2014,76,24.0,0.0,0
diego capel,2016,71,8.0,0.0,0
diego carlos,2017,44,20.0,0.0,0
diego castro,2012,99,20.0,0.0,5
diego castro,2013,171,48.0,0.0,8
diego castro,2014,133,12.0,0.0,1
diego castro,2015,152,28.0,0.0,3
diego colotto,2013,117,36.0,0.0,2
diego colotto,2014,111,20.0,0.0,4
diego colotto,2015,64,12.0,6.0,0
diego contento,2012,20,0.0,0.0,0
diego contento,2013,10,0.0,0.0,0
diego contento,2014,26,4.0,0.0,0
diego contento,2015,90,32.0,0.0,0
diego contento,2016,84,12.0,0.0,2
diego contento,2017,38,4.0,0.0,1
diego costa,2012,163,32.0,0.0,9
diego costa,2013,233,44.0,0.0,10
diego costa,2014,338,28.0,0.0,27
diego costa,2015,166,32.0,0.0,20
diego costa,2016,217,36.0,0.0,12
diego costa,2017,159,20.0,0.0,15
diego demme,2017,80,8.0,0.0,0
diego fabbrini,2012,67,20.0,0.0,2
diego fabbrini,2013,74,0.0,0.0,1
diego falcinelli,2016,85,4.0,0.0,2
diego falcinelli,2017,144,8.0,0.0,5
diego laxalt,2014,37,0.0,0.0,2
diego laxalt,2015,32,12.0,0.0,0
diego laxalt,2016,140,8.0,0.0,3
diego laxalt,2017,83,12.0,0.0,1
diego llorente,2014,2,0.0,0.0,0
diego llorente,2016,130,44.0,6.0,3
diego llorente,2017,30,4.0,6.0,1
diego novaretti,2014,22,16.0,0.0,0
diego novaretti,2015,17,12.0,0.0,0
diego perotti,2012,78,8.0,0.0,0
diego perotti,2013,40,8.0,0.0,0
diego perotti,2014,22,8.0,0.0,1
diego perotti,2015,119,20.0,0.0,4
diego perotti,2016,135,12.0,12.0,4
diego perotti,2017,73,0.0,0.0,6
diego poyet,2015,5,4.0,0.0,0
diego reyes,2016,68,20.0,0.0,3
diego reyes,2017,18,0.0,0.0,2
diego rico,2017,43,12.0,0.0,1
dieumerci mbokani,2016,130,0.0,0.0,7
dieumerci mbokani,2017,58,0.0,0.0,0
dimitri foulquier,2012,3,0.0,0.0,0
dimitri foulquier,2013,19,12.0,0.0,0
dimitri foulquier,2014,15,0.0,0.0,0
dimitri foulquier,2015,44,24.0,0.0,0
dimitri foulquier,2016,41,20.0,0.0,0
dimitri foulquier,2017,22,8.0,0.0,0
dimitri payet,2012,133,12.0,0.0,6
dimitri payet,2013,236,12.0,0.0,12
dimitri payet,2014,126,20.0,0.0,8
dimitri payet,2015,162,12.0,0.0,7
dimitri payet,2016,128,12.0,0.0,9
dimitri payet,2017,96,8.0,0.0,2
diogo figueiras,2014,82,40.0,0.0,1
diogo figueiras,2015,85,28.0,0.0,1
diogo figueiras,2016,45,16.0,0.0,1
divock origi,2013,9,0.0,0.0,1
divock origi,2014,76,4.0,0.0,5
divock origi,2015,132,0.0,0.0,8
divock origi,2016,57,0.0,0.0,5
divock origi,2017,54,0.0,0.0,4
djamel bakar,2012,100,8.0,0.0,3
djamel bakar,2013,140,4.0,6.0,5
djamel bakar,2014,28,4.0,6.0,1
djamel bakar,2015,12,0.0,0.0,1
djamel bakar,2016,9,0.0,0.0,0
djamel mesbah,2012,73,16.0,0.0,1
djamel mesbah,2013,22,4.0,0.0,0
djamel mesbah,2014,90,24.0,0.0,2
djamel mesbah,2015,58,8.0,0.0,0
djamel mesbah,2016,26,8.0,0.0,0
djamel mesbah,2017,15,4.0,0.0,0
dodi lukebakio,2017,5,0.0,0.0,0
domenico berardi,2014,251,40.0,6.0,16
domenico berardi,2015,277,52.0,6.0,15
domenico berardi,2016,225,40.0,6.0,7
domenico berardi,2017,41,8.0,0.0,2
domenico maietta,2014,53,16.0,0.0,0
domenico maietta,2016,45,16.0,0.0,0
domenico maietta,2017,27,8.0,0.0,0
domi kumbela,2014,174,16.0,0.0,9
dominic maroh,2012,54,8.0,0.0,1
dominic maroh,2015,57,8.0,0.0,1
dominic maroh,2016,80,28.0,0.0,2
dominic maroh,2017,5,4.0,0.0,0
dominik furman,2014,8,4.0,0.0,0
dominik kaiser,2012,24,4.0,0.0,0
dominik kaiser,2017,40,4.0,0.0,1
dominik kohr,2012,2,0.0,0.0,0
dominik kohr,2013,2,0.0,0.0,0
dominik kohr,2014,27,12.0,0.0,0
dominik kohr,2015,89,40.0,0.0,1
dominik kohr,2016,150,44.0,0.0,0
dominik kohr,2017,69,20.0,0.0,0
dominique heintz,2016,77,12.0,0.0,2
dominique heintz,2017,43,16.0,0.0,0
dominique malonga,2012,49,0.0,0.0,0
don cowie,2014,22,4.0,0.0,0
donald love,2016,1,0.0,0.0,0
donald love,2017,17,4.0,0.0,0
donis avdijaj,2017,7,0.0,0.0,1
dorian caddy,2016,13,0.0,0.0,0
douglas,2015,15,12.0,0.0,0
douglas,2016,3,0.0,0.0,0
douglas,2017,84,24.0,0.0,3
douglas costa,2016,124,4.0,0.0,4
douglas costa,2017,39,4.0,0.0,3
douglas santos,2014,6,0.0,0.0,0
douglas santos,2017,39,12.0,0.0,0
dries mertens,2014,167,16.0,0.0,11
dries mertens,2015,137,16.0,6.0,6
dries mertens,2016,129,28.0,0.0,5
dries mertens,2017,138,24.0,0.0,12
duda,2012,74,20.0,0.0,0
duda,2013,46,24.0,0.0,0
duda,2014,121,40.0,12.0,2
duda,2015,48,16.0,6.0,1
duda,2016,94,20.0,0.0,1
duda,2017,22,8.0,0.0,1
duncan watmore,2016,40,0.0,0.0,3
duncan watmore,2017,54,4.0,0.0,0
dwight gayle,2014,34,8.0,0.0,6
dwight gayle,2015,77,4.0,0.0,5
dwight gayle,2016,80,12.0,0.0,3
dylan bahamboula,2017,26,0.0,0.0,1
dylan gissi,2015,5,4.0,0.0,0
eddy,2015,9,4.0,0.0,0
eddy,2016,19,8.0,0.0,0
eden hazard,2012,288,8.0,0.0,20
eden hazard,2014,150,4.0,0.0,14
eden hazard,2015,208,8.0,0.0,14
eden hazard,2016,141,12.0,0.0,5
eden hazard,2017,128,8.0,0.0,9
eder,2012,65,8.0,0.0,2
eder,2013,201,20.0,0.0,7
eder,2014,219,36.0,0.0,12
eder,2015,210,20.0,0.0,9
eder,2016,295,16.0,0.0,18
eder,2017,184,12.0,0.0,6
ederson,2012,58,0.0,0.0,2
edgar barreto,2012,126,20.0,0.0,1
edgar barreto,2013,145,40.0,0.0,0
edgar barreto,2015,98,24.0,0.0,2
edgar barreto,2016,79,12.0,0.0,0
edgar barreto,2017,84,12.0,6.0,2
edgar prib,2013,159,16.0,0.0,3
edgar prib,2014,71,12.0,0.0,1
edgar prib,2015,61,16.0,0.0,1
edgar prib,2016,86,12.0,0.0,0
edimilson fernandes,2017,25,8.0,0.0,0
edinson cavani,2012,196,12.0,0.0,20
edinson cavani,2013,275,32.0,0.0,29
edinson cavani,2014,177,8.0,0.0,16
edinson cavani,2015,214,16.0,0.0,18
edinson cavani,2016,173,8.0,0.0,18
edinson cavani,2017,125,12.0,0.0,20
edoardo goldaniga,2016,60,20.0,0.0,2
edoardo goldaniga,2017,52,32.0,0.0,2
edouard butin,2012,96,12.0,0.0,6
edouard butin,2013,19,0.0,0.0,1
edouard butin,2014,17,0.0,0.0,2
edson braafheid,2012,80,0.0,0.0,1
edson braafheid,2015,53,4.0,0.0,1
edson braafheid,2016,16,0.0,0.0,0
edu albacar,2014,59,16.0,0.0,3
edu albacar,2015,60,24.0,0.0,3
edu bedia,2012,40,8.0,0.0,0
edu oriol,2012,48,4.0,0.0,2
edu oriol,2013,35,4.0,0.0,0
edu ramos,2014,1,0.0,0.0,0
eduardo,2014,120,0.0,0.0,9
eduardo salvio,2012,128,28.0,0.0,3
eduardo vargas,2012,8,0.0,0.0,0
eduardo vargas,2013,17,12.0,0.0,0
eduardo vargas,2014,78,12.0,0.0,3
eduardo vargas,2015,73,4.0,0.0,4
eduardo vargas,2016,96,4.0,0.0,2
eduardo vargas,2017,8,4.0,0.0,0
eliaquim mangala,2015,74,20.0,0.0,1
eliaquim mangala,2016,78,32.0,0.0,1
eliaquim mangala,2017,41,20.0,0.0,0
elias kachunga,2015,181,12.0,0.0,6
elias kachunga,2016,25,0.0,0.0,0
eliseu,2012,93,12.0,6.0,2
eliseu,2013,119,8.0,6.0,1
eliseu,2014,110,36.0,0.0,2
eljero elia,2012,11,0.0,0.0,0
eljero elia,2013,98,0.0,0.0,0
eljero elia,2014,152,16.0,0.0,4
eljero elia,2015,87,12.0,0.0,2
elkin soto,2012,109,8.0,0.0,1
elkin soto,2013,81,12.0,0.0,1
elkin soto,2014,69,8.0,6.0,1
elkin soto,2015,28,12.0,0.0,3
elliott bennett,2014,2,0.0,0.0,0
ellyes skhiri,2015,2,0.0,0.0,0
ellyes skhiri,2016,23,4.0,0.0,2
ellyes skhiri,2017,65,4.0,0.0,2
elseid hysaj,2015,79,16.0,0.0,0
elseid hysaj,2016,111,20.0,0.0,0
elseid hysaj,2017,51,16.0,0.0,1
elustondo,2016,15,4.0,0.0,1
elustondo,2017,1,0.0,0.0,0
emanuel mammana,2017,18,4.0,0.0,0
emanuel pogatetz,2012,103,12.0,0.0,1
emanuel pogatetz,2013,26,4.0,0.0,1
emanuel pogatetz,2014,71,28.0,0.0,1
emanuele giaccherini,2012,64,12.0,0.0,1
emanuele giaccherini,2013,69,4.0,0.0,3
emanuele giaccherini,2014,57,12.0,0.0,2
emanuele giaccherini,2015,21,8.0,0.0,0
emanuele giaccherini,2016,110,24.0,0.0,7
emanuele giaccherini,2017,8,0.0,0.0,0
emanuele suagher,2016,37,28.0,0.0,0
emanuele terranova,2014,7,0.0,0.0,0
emanuele terranova,2015,12,0.0,0.0,0
emanuele terranova,2016,7,4.0,0.0,0
emanuele terranova,2017,7,0.0,0.0,0
emerson,2014,173,36.0,0.0,2
emerson,2015,11,0.0,0.0,0
emerson,2016,10,4.0,0.0,0
emerson,2017,38,4.0,0.0,0
emil forsberg,2017,71,4.0,6.0,5
emil krafth,2016,2,0.0,0.0,0
emil krafth,2017,27,4.0,6.0,0
emiliano armenteros,2012,77,8.0,0.0,2
emiliano armenteros,2013,210,44.0,6.0,3
emiliano armenteros,2014,125,20.0,0.0,4
emiliano martinez,2015,2,0.0,0.0,0
emiliano moretti,2012,92,36.0,6.0,1
emiliano moretti,2013,98,36.0,0.0,0
emiliano moretti,2014,97,16.0,0.0,1
emiliano moretti,2015,119,44.0,0.0,2
emiliano moretti,2016,100,16.0,0.0,1
emiliano moretti,2017,27,12.0,0.0,0
emiliano sala,2015,97,8.0,0.0,6
emiliano sala,2016,173,12.0,0.0,6
emiliano sala,2017,124,12.0,0.0,5
emiliano viviano,2012,19,4.0,0.0,0
emiliano viviano,2013,20,4.0,0.0,0
emiliano viviano,2015,21,12.0,0.0,0
emiliano viviano,2016,39,8.0,0.0,0
emiliano viviano,2017,7,12.0,0.0,0
emmanuel adebayor,2014,113,0.0,0.0,11
emmanuel adebayor,2015,47,4.0,0.0,2
emmanuel adebayor,2016,36,4.0,0.0,1
emmanuel badu,2012,7,4.0,0.0,0
emmanuel badu,2013,83,8.0,0.0,0
emmanuel badu,2014,104,20.0,0.0,5
